,img_name,latex_seq
0,5abbb9b19f,"[502, 227, 463, 496, 10, 197, 498, 462, 496, 226, 498, 469, 478, 78, 282, 496, 470, 498, 462, 496, 10, 478, 457, 498, 227, 463, 496, 10, 197, 498, 462, 496, 226, 498, 469, 478, 462, 496, 333, 498, 282, 496, 470, 498, 462, 496, 10, 478, 462, 496, 333, 498, 457, 498, 478, 478, 462, 496, 333, 498, 496, 206, 496, 478, 462, 496, 333, 498, 10, 478, 498, 496, 478, 8, 478, 462, 496, 333, 498, 498, 498, 458, 23, 75, 181, 462, 496, 333, 333, 498, 5, 478, 6, 10, 496, 206, 496, 23, 498, 496, 26, 498, 498, 488, 75, 181, 5, 478, 6, 460, 36, 15, 13, 503]"
1,329a44c373,"[502, 67, 496, 133, 496, 50, 498, 498, 463, 496, 465, 498, 462, 496, 10, 498, 5, 483, 6, 9, 496, 133, 496, 50, 498, 498, 463, 496, 466, 498, 462, 496, 10, 498, 5, 477, 6, 461, 36, 474, 471, 463, 496, 465, 466, 467, 498, 496, 133, 496, 50, 498, 498, 463, 496, 467, 498, 462, 496, 10, 498, 5, 483, 8, 477, 6, 10, 22, 496, 328, 498, 462, 496, 22, 498, 42, 483, 496, 181, 498, 463, 496, 465, 466, 498, 496, 181, 498, 463, 496, 483, 8, 477, 9, 15, 498, 13, 503]"
2,73b51f198b,"[502, 44, 5, 491, 6, 36, 206, 496, 469, 498, 496, 469, 488, 498, 44, 5, 485, 6, 79, 79, 79, 79, 79, 79, 79, 205, 488, 75, 13, 503]"
3,6e69ea63c3,"[502, 134, 496, 478, 478, 498, 496, 379, 462, 496, 15, 498, 36, 10, 496, 136, 21, 498, 463, 496, 22, 421, 22, 498, 36, 496, 133, 496, 379, 498, 498, 462, 496, 15, 498, 9, 498, 3, 496, 379, 462, 496, 21, 498, 36, 408, 463, 496, 495, 498, 36, 10, 496, 133, 496, 379, 498, 498, 462, 496, 21, 498, 9, 498, 117, 496, 379, 462, 496, 22, 498, 36, 408, 463, 496, 493, 498, 36, 10, 496, 133, 496, 379, 498, 498, 462, 496, 22, 498, 9, 498, 3, 496, 379, 462, 496, 23, 498, 36, 408, 463, 496, 494, 498, 36, 10, 496, 133, 496, 379, 498, 498, 462, 496, 23, 498, 9, 341, 5, 282, 496, 482, 486, 498, 341, 379, 462, 496, 494, 498, 36, 408, 463, 496, 494, 498, 36, 10, 496, 133, 496, 379, 498, 498, 462, 496, 494, 498, 6, 9, 498, 117, 193, 503]"
4,6331d9e7fd,"[502, 496, 206, 496, 21, 498, 496, 51, 462, 496, 22, 498, 498, 498, 334, 463, 496, 474, 36, 21, 498, 462, 496, 23, 498, 5, 486, 463, 496, 8, 498, 462, 496, 22, 498, 8, 485, 463, 496, 474, 498, 6, 10, 291, 486, 463, 496, 8, 498, 462, 496, 22, 498, 380, 15, 69, 13, 503]"
5,71b1268d61,"[502, 96, 463, 496, 10, 21, 9, 21, 498, 36, 237, 462, 496, 10, 21, 498, 5, 470, 463, 496, 21, 9, 22, 483, 498, 10, 470, 463, 496, 22, 9, 22, 483, 8, 21, 498, 6, 8, 5, 470, 463, 496, 22, 9, 21, 498, 10, 470, 463, 496, 22, 483, 8, 21, 9, 22, 483, 498, 6, 8, 22, 404, 463, 496, 477, 36, 21, 498, 462, 496, 483, 10, 21, 498, 470, 463, 496, 22, 8, 477, 9, 21, 8, 477, 498, 10, 22, 404, 463, 496, 477, 36, 21, 498, 462, 496, 483, 10, 21, 498, 470, 463, 496, 483, 8, 21, 8, 477, 9, 483, 8, 477, 498, 9, 503]"
6,91a55d2cb9,"[502, 493, 462, 496, 48, 498, 5, 379, 8, 22, 328, 9, 408, 6, 36, 493, 462, 496, 48, 498, 5, 379, 9, 408, 6, 8, 22, 328, 51, 462, 496, 48, 498, 13, 503]"
7,408fe63a30,"[502, 456, 463, 496, 379, 498, 5, 379, 6, 36, 21, 10, 206, 496, 328, 470, 462, 496, 379, 498, 498, 496, 23, 498, 8, 30, 328, 470, 462, 496, 379, 498, 404, 463, 496, 481, 36, 21, 498, 462, 496, 226, 498, 206, 496, 481, 470, 462, 496, 10, 22, 481, 328, 470, 462, 496, 379, 498, 498, 498, 496, 21, 10, 470, 462, 496, 10, 22, 481, 328, 470, 462, 496, 379, 498, 498, 498, 503]"
8,232d6fea7c,"[502, 479, 463, 496, 15, 498, 462, 496, 22, 498, 435, 8, 496, 206, 496, 291, 462, 496, 22, 498, 10, 479, 463, 496, 15, 498, 462, 496, 22, 498, 498, 496, 135, 498, 498, 313, 496, 488, 465, 481, 498, 5, 135, 435, 6, 36, 15, 503]"
9,23cc1f9ade,"[502, 470, 463, 496, 155, 498, 5, 493, 463, 496, 155, 498, 6, 36, 472, 294, 463, 496, 155, 498, 227, 469, 494, 462, 496, 10, 498, 469, 494, 463, 496, 155, 498, 469, 5, 493, 463, 496, 155, 498, 10, 494, 463, 496, 155, 498, 6, 255, 471, 462, 496, 23, 465, 466, 498, 40, 463, 496, 155, 498, 462, 496, 465, 498, 5, 494, 463, 496, 155, 498, 9, 494, 462, 496, 10, 498, 6, 106, 463, 496, 155, 498, 462, 496, 466, 498, 5, 494, 463, 496, 155, 498, 9, 494, 462, 496, 10, 498, 6, 8, 352, 463, 496, 479, 498, 462, 496, 23, 498, 5, 494, 463, 496, 155, 498, 9, 494, 462, 496, 10, 498, 6, 362, 206, 496, 408, 462, 496, 23, 498, 498, 496, 22, 498, 75, 13, 503]"
